date,retail,grocery,parks,transit,workplaces,residential,ia7,growth_rate
2020-03-08,10.0,6.0,38.0,11.0,5.0,-3.0,36.158329040794264,645.8333333333333
2020-03-09,0.0,1.0,13.0,-3.0,4.0,-1.0,44.23840256946338,376.0869565217392
2020-03-10,-1.0,16.0,18.0,-6.0,4.0,-2.0,61.00455514145179,449.090909090909
2020-03-11,-3.0,16.0,21.0,-10.0,1.0,-1.0,81.60874263955802,512.1212121212121
2020-03-12,-11.0,29.0,10.0,-17.0,-2.0,0.0,106.2529669019988,504.59770114942535
2020-03-13,-40.0,23.0,-29.0,-38.0,-21.0,7.0,146.45133270712765,530.4347826086957
2020-03-14,-68.0,-18.0,-52.0,-52.0,-32.0,12.0,181.80165439505498,476.92307692307674
2020-03-15,-86.0,-54.0,-68.0,-73.0,-49.0,15.0,230.28209556706966,536.8715083798884
2020-03-16,-78.0,-33.0,-71.0,-76.0,-49.0,20.0,279.5705440919512,531.9634703196346
2020-03-17,-81.0,-43.0,-66.0,-78.0,-54.0,20.0,309.0628124715935,406.6225165562914
2020-03-18,-82.0,-36.0,-70.0,-82.0,-57.0,22.0,342.79711945378705,320.049504950495
2020-03-19,-92.0,-92.0,-76.0,-88.0,-83.0,32.0,356.7352462907412,235.74144486692012
2020-03-20,-86.0,-35.0,-76.0,-85.0,-65.0,30.0,376.53142643598056,157.10344827586204
2020-03-21,-92.0,-59.0,-86.0,-86.0,-62.0,26.0,371.2793786423457,104.2222222222223
2020-03-22,-94.0,-76.0,-85.0,-91.0,-65.0,22.0,356.73524629074126,54.912280701754376
2020-03-23,-83.0,-49.0,-75.0,-84.0,-61.0,25.0,344.6151359977375,23.26589595375723
2020-03-24,-85.0,-55.0,-74.0,-85.0,-63.0,24.0,334.9190477633346,8.366013071895416
2020-03-25,-85.0,-57.0,-73.0,-85.0,-64.0,26.0,321.38492460281395,-6.246317030053017
2020-03-26,-86.0,-57.0,-74.0,-86.0,-65.0,26.0,313.3048510741448,-12.17440543601358
2020-03-27,-88.0,-56.0,-79.0,-87.0,-65.0,31.0,275.73250916583345,-26.770386266094416
2020-03-28,-92.0,-63.0,-84.0,-88.0,-62.0,25.0,261.39037865244575,-29.59738846572362
2020-03-29,-94.0,-80.0,-83.0,-91.0,-64.0,21.0,238.36216909573878,-33.182332955832386
2020-03-30,-88.0,-59.0,-79.0,-87.0,-70.0,28.0,218.9699926269329,-36.459554513481805
2020-03-31,-92.0,-58.0,-79.0,-87.0,-72.0,28.0,199.77981799634375,-40.34981905910736
2020-04-01,-92.0,-57.0,-78.0,-87.0,-72.0,29.0,180.58964336575463,-43.80892520427406
2020-04-02,-92.0,-58.0,-76.0,-87.0,-72.0,29.0,159.37945035299822,-49.129593810444874
2020-04-03,-90.0,-54.0,-78.0,-90.0,-71.0,33.0,147.25934005999454,-46.593406593406606
2020-04-04,-93.0,-62.0,-84.0,-90.0,-64.0,25.0,141.19928491349273,-45.981452859350846
2020-04-05,-94.0,-79.0,-84.0,-92.0,-66.0,22.0,149.48136028037857,-37.28813559322034
2020-04-06,-86.0,-53.0,-77.0,-89.0,-70.0,28.0,144.63331616317708,-33.94833948339484
2020-04-07,-87.0,-41.0,-72.0,-87.0,-70.0,26.0,137.3612499873749,-31.24368048533871
2020-04-08,-86.0,-35.0,-71.0,-86.0,-71.0,26.0,130.08918381157267,-27.96420581655482
2020-04-09,-94.0,-92.0,-81.0,-92.0,-86.0,34.0,123.82712682685413,-22.30671736375158
2020-04-10,-97.0,-95.0,-87.0,-95.0,-88.0,42.0,115.14104778353482,-21.810699588477377
2020-04-11,-92.0,-50.0,-84.0,-88.0,-61.0,25.0,105.84896322556534,-25.03576537911304
2020-04-12,-95.0,-77.0,-82.0,-92.0,-65.0,22.0,88.6788069771435,-40.675675675675684
2020-04-13,-92.0,-92.0,-79.0,-91.0,-82.0,32.0,77.97270955165692,-46.089385474860336
2020-04-14,-84.0,-39.0,-68.0,-82.0,-62.0,23.0,73.12466543445547,-46.76470588235294
2020-04-15,-86.0,-49.0,-75.0,-85.0,-64.0,26.0,65.65059742043653,-49.534161490683225
2020-04-16,-86.0,-52.0,-71.0,-85.0,-63.0,26.0,61.8125624943187,-50.08156606851551
2020-04-17,-88.0,-55.0,-74.0,-87.0,-63.0,30.0,59.388540435717964,-48.42105263157893
2020-04-18,-92.0,-59.0,-81.0,-88.0,-57.0,24.0,55.75250734781686,-47.32824427480916
2020-04-19,-94.0,-78.0,-83.0,-91.0,-63.0,22.0,48.68244301023139,-45.10250569476083
2020-04-20,-84.0,-58.0,-71.0,-85.0,-60.0,25.0,39.794362128695376,-48.96373056994818
2020-04-21,-85.0,-52.0,-69.0,-84.0,-61.0,24.0,38.784352937611736,-46.96132596685083
2020-04-22,-85.0,-54.0,-69.0,-83.0,-61.0,25.0,33.12830146754335,-49.53846153846154
2020-04-23,-85.0,-53.0,-68.0,-83.0,-61.0,25.0,32.11829227645971,-48.03921568627452
2020-04-24,-87.0,-51.0,-71.0,-86.0,-60.0,29.0,27.876253673908433,-53.06122448979592
2020-04-25,-91.0,-56.0,-81.0,-86.0,-56.0,24.0,24.846226100657514,-55.434782608695656
2020-04-26,-92.0,-67.0,-73.0,-87.0,-59.0,20.0,26.86624448282479,-44.81327800829875
2020-04-27,-82.0,-55.0,-66.0,-82.0,-59.0,24.0,23.43221323314042,-41.11675126903555
2020-04-28,-82.0,-49.0,-58.0,-82.0,-59.0,22.0,19.190174630589137,-50.52083333333335
2020-04-29,-82.0,-45.0,-59.0,-80.0,-59.0,23.0,18.1801654395055,-45.12195121951219
2020-04-30,-82.0,-34.0,-61.0,-80.0,-58.0,23.0,17.574159924855316,-45.28301886792453
2020-05-01,-93.0,-91.0,-70.0,-90.0,-82.0,36.0,17.574159924855316,-36.956521739130444
2020-05-02,-85.0,-37.0,-53.0,-70.0,-50.0,20.0,15.958145219121494,-35.77235772357723
2020-05-03,-83.0,-43.0,-41.0,-74.0,-50.0,16.0,13.534123160520759,-49.62406015037594
2020-05-04,-73.0,-41.0,-37.0,-72.0,-52.0,19.0,13.53412316052076,-42.241379310344826
2020-05-05,-74.0,-37.0,-29.0,-71.0,-52.0,18.0,14.342130513387673,-25.263157894736832
2020-05-06,-74.0,-39.0,-34.0,-71.0,-53.0,19.0,15.150137866254584,-16.666666666666675
2020-05-07,-75.0,-37.0,-36.0,-72.0,-53.0,20.0,15.352139704471309,-12.643678160919535
2020-05-08,-80.0,-46.0,-45.0,-78.0,-54.0,24.0,14.746134189821127,-16.091954022988496
2020-05-09,-84.0,-41.0,-57.0,-73.0,-43.0,19.0,15.352139704471309,-3.797468354430378
2020-05-10,-86.0,-53.0,-59.0,-80.0,-49.0,18.0,13.938126836954215,2.9850746268656803
2020-05-11,-74.0,-40.0,-50.0,-72.0,-49.0,19.0,13.53412316052076,0.0
2020-05-12,-76.0,-41.0,-55.0,-72.0,-50.0,20.0,12.52411396943712,-12.676056338028175
2020-05-13,-74.0,-37.0,-40.0,-69.0,-49.0,20.0,12.72611580765385,-15.999999999999993
2020-05-14,-76.0,-37.0,-51.0,-74.0,-50.0,22.0,11.716106616570212,-23.684210526315784
2020-05-15,-79.0,-40.0,-54.0,-77.0,-52.0,25.0,13.73612499873749,-6.849315068493134
2020-05-16,-83.0,-41.0,-57.0,-71.0,-41.0,20.0,14.74613418982113,-3.9473684210526105
2020-05-17,-82.0,-39.0,-39.0,-73.0,-42.0,15.0,15.958145219121496,14.492753623188426
2020-05-18,-53.0,-26.0,-4.0,-60.0,-41.0,13.0,15.554141542688038,14.925373134328357
2020-05-19,-56.0,-26.0,0.0,-61.0,-42.0,12.0,17.574159924855316,40.322580645161274
2020-05-20,-56.0,-25.0,-8.0,-60.0,-43.0,14.0,15.352139704471309,20.63492063492063
2020-05-21,-56.0,-22.0,-12.0,-63.0,-43.0,15.0,15.55414154268804,32.75862068965518
2020-05-22,-60.0,-23.0,-19.0,-67.0,-42.0,17.0,15.958145219121494,16.176470588235283
2020-05-23,-64.0,-24.0,-28.0,-61.0,-25.0,10.0,15.756143380904767,6.849315068493156
2020-05-24,-66.0,-25.0,-19.0,-68.0,-28.0,8.0,15.756143380904769,-1.2658227848101222
2020-05-25,-56.0,-27.0,-31.0,-66.0,-40.0,14.0,16.564150733771676,6.493506493506485
2020-05-26,-52.0,-21.0,-6.0,-59.0,-38.0,12.0,16.766152571988407,-4.597701149425271
2020-05-27,-51.0,-22.0,-4.0,-58.0,-38.0,13.0,19.392176468805868,26.315789473684227
2020-05-28,-51.0,-19.0,-5.0,-61.0,-38.0,13.0,20.806189336322962,33.76623376623375
2020-05-29,-53.0,-20.0,-9.0,-65.0,-36.0,14.0,19.796180145239322,24.050632911392423
2020-05-30,-58.0,-19.0,-18.0,-58.0,-14.0,8.0,19.190174630589137,21.79487179487176
2020-05-31,-60.0,-19.0,-14.0,-68.0,-16.0,7.0,18.1801654395055,15.384615384615374
2020-06-01,-47.0,-26.0,3.0,-57.0,-40.0,11.0,17.776161763072047,7.317073170731714
2020-06-02,-40.0,-9.0,14.0,-54.0,-33.0,9.0,16.16014705733822,-3.614457831325313
2020-06-03,-39.0,-11.0,9.0,-53.0,-33.0,10.0,15.352139704471309,-20.833333333333336
2020-06-04,-44.0,-14.0,-6.0,-57.0,-35.0,12.0,15.150137866254582,-27.184466019417485
2020-06-05,-40.0,-14.0,5.0,-57.0,-31.0,11.0,14.948136028037855,-24.489795918367353
2020-06-06,-46.0,-17.0,-8.0,-50.0,-9.0,6.0,14.948136028037856,-22.10526315789472
2020-06-07,-51.0,-12.0,1.0,-64.0,-10.0,6.0,14.746134189821127,-18.8888888888889
2020-06-08,-34.0,-15.0,4.0,-49.0,-31.0,10.0,14.544132351604402,-18.181818181818176
2020-06-09,-33.0,-14.0,17.0,-49.0,-31.0,8.0,15.150137866254584,-6.25
2020-06-10,-27.0,0.0,21.0,-46.0,-31.0,7.0,13.938126836954217,-9.210526315789469
2020-06-11,-55.0,-77.0,9.0,-63.0,-61.0,17.0,12.120110293003666,-20.000000000000007
2020-06-12,-37.0,1.0,-9.0,-53.0,-36.0,13.0,10.706097425486572,-28.37837837837838
2020-06-13,-41.0,-14.0,-7.0,-44.0,-4.0,6.0,9.29208455796948,-37.83783783783784
2020-06-14,-46.0,-11.0,8.0,-56.0,-1.0,5.0,9.292084557969478,-36.98630136986301
2020-06-15,-27.0,-13.0,16.0,-45.0,-28.0,8.0,8.686079043319294,-40.27777777777778
2020-06-16,-29.0,-11.0,22.0,-43.0,-28.0,8.0,7.070064337585473,-53.33333333333332
2020-06-17,-29.0,-12.0,20.0,-42.0,-29.0,8.0,6.666060661152017,-52.17391304347826
2020-06-18,-26.0,-13.0,23.0,-45.0,-29.0,8.0,7.070064337585471,-41.66666666666667
2020-06-19,-32.0,-12.0,8.0,-49.0,-27.0,9.0,7.8780716904523835,-26.415094339622623
2020-06-20,-35.0,-14.0,-4.0,-38.0,0.0,3.0,9.090082719752749,-2.1739130434782927
2020-06-21,-39.0,-6.0,10.0,-48.0,2.0,2.0,10.302093749053116,10.869565217391308
2020-06-22,-20.0,-11.0,21.0,-36.0,-29.0,6.0,10.504095587269845,20.93023255813953
2020-06-23,-21.0,-7.0,29.0,-33.0,-28.0,5.0,12.322112131220393,74.28571428571425
2020-06-24,-20.0,-8.0,28.0,-31.0,-27.0,6.0,13.332121322304033,100.0
2020-06-25,-18.0,-5.0,32.0,-32.0,-27.0,5.0,14.5441323516044,105.71428571428574
2020-06-26,-22.0,-5.0,19.0,-26.0,-27.0,5.0,13.938126836954215,76.92307692307688
2020-06-27,-24.0,-5.0,16.0,-14.0,-1.0,0.0,14.948136028037855,64.44444444444446
2020-06-28,-29.0,14.0,18.0,-24.0,4.0,-1.0,14.746134189821127,43.13725490196079
2020-06-29,-15.0,-7.0,26.0,-23.0,-25.0,4.0,13.938126836954215,32.692307692307686
2020-06-30,-16.0,-6.0,25.0,-32.0,-25.0,4.0,12.52411396943712,1.6393442622950838
2020-07-01,-16.0,-7.0,29.0,-26.0,-27.0,4.0,11.918108454786937,-10.606060606060607
2020-07-02,-15.0,-3.0,33.0,-26.0,-27.0,5.0,11.312102940136755,-22.22222222222222
2020-07-03,-20.0,-6.0,21.0,-31.0,-26.0,4.0,12.120110293003668,-13.043478260869534
2020-07-04,-22.0,-6.0,14.0,-21.0,0.0,0.0,10.706097425486572,-28.37837837837838
2020-07-05,-27.0,19.0,16.0,-32.0,3.0,-1.0,9.696088234402934,-34.246575342465746
2020-07-06,-13.0,-8.0,27.0,-29.0,-27.0,4.0,11.312102940136755,-18.840579710144922
2020-07-07,-17.0,-7.0,30.0,-32.0,-27.0,3.0,12.322112131220393,-1.6129032258064502
2020-07-08,-15.0,-6.0,32.0,-27.0,-27.0,4.0,13.332121322304033,11.86440677966103
2020-07-09,-16.0,-6.0,32.0,-27.0,-27.0,4.0,14.948136028037855,32.14285714285714
2020-07-10,-21.0,-13.0,20.0,-31.0,-28.0,4.0,16.36214889555495,34.999999999999964
2020-07-11,-24.0,-9.0,11.0,-25.0,-1.0,0.0,15.958145219121493,49.0566037735849
2020-07-12,-29.0,0.0,12.0,-29.0,2.0,-1.0,16.766152571988403,72.91666666666666
2020-07-13,-12.0,-8.0,33.0,-30.0,-27.0,3.0,16.36214889555495,44.64285714285714
2020-07-14,-17.0,-9.0,25.0,-29.0,-28.0,4.0,16.362148895554952,32.78688524590167
2020-07-15,-12.0,-8.0,40.0,-27.0,-26.0,3.0,16.56415073377168,24.242424242424264
2020-07-16,-11.0,-7.0,38.0,-29.0,-26.0,3.0,15.55414154268804,4.054054054054079
2020-07-17,-20.0,-10.0,24.0,-35.0,-27.0,4.0,13.130119484087306,-19.753086419753075
2020-07-18,-21.0,-10.0,16.0,-26.0,0.0,0.0,13.938126836954218,-12.658227848101255
2020-07-19,-25.0,-2.0,20.0,-29.0,2.0,-2.0,13.53412316052076,-19.277108433734934
2020-07-20,-13.0,-8.0,35.0,-30.0,-26.0,3.0,13.130119484087306,-19.753086419753075
2020-07-21,-15.0,-8.0,37.0,-33.0,-26.0,3.0,12.524113969437122,-23.456790123456795
2020-07-22,-14.0,-9.0,34.0,-32.0,-27.0,4.0,11.514104778353483,-30.487804878048795
2020-07-23,-14.0,-6.0,37.0,-28.0,-27.0,3.0,10.302093749053117,-33.76623376623377
2020-07-24,-21.0,-11.0,23.0,-33.0,-27.0,4.0,10.9080992637033,-16.92307692307693
2020-07-25,-23.0,-9.0,17.0,-33.0,-1.0,0.0,9.696088234402932,-30.434782608695667
2020-07-26,-27.0,-6.0,18.0,-27.0,1.0,-2.0,9.696088234402932,-28.358208955223894
2020-07-27,-14.0,-9.0,27.0,-29.0,-30.0,4.0,12.120110293003666,-7.692307692307699
2020-07-28,-15.0,-6.0,38.0,-27.0,-28.0,3.0,14.5441323516044,16.129032258064502
2020-07-29,-15.0,-8.0,35.0,-30.0,-29.0,4.0,18.382167277722225,59.64912280701753
2020-07-30,-14.0,-5.0,32.0,-28.0,-30.0,4.0,21.008191174539686,103.92156862745092
2020-07-31,-18.0,-8.0,21.0,-33.0,-29.0,4.0,22.42220404205678,105.55555555555554
2020-08-01,-19.0,-4.0,13.0,-26.0,-2.0,-1.0,25.654233453524427,164.5833333333334
2020-08-02,-21.0,3.0,22.0,-29.0,0.0,-2.0,28.88626286499207,197.91666666666666
2020-08-03,-6.0,1.0,52.0,-29.0,-30.0,3.0,28.280257350341888,133.33333333333334
2020-08-04,-8.0,-1.0,57.0,-27.0,-31.0,2.0,29.290266541425524,101.38888888888889
2020-08-05,-8.0,-3.0,46.0,-27.0,-31.0,4.0,29.492268379642255,60.439560439560445
2020-08-06,-8.0,-1.0,47.0,-30.0,-31.0,4.0,31.714288600026258,50.96153846153846
2020-08-07,-18.0,-7.0,25.0,-38.0,-31.0,4.0,33.12830146754335,47.74774774774777
2020-08-08,-18.0,-6.0,21.0,-20.0,-2.0,0.0,34.9463180114939,36.22047244094486
2020-08-09,-18.0,2.0,26.0,-28.0,3.0,-2.0,35.14831984971063,21.678321678321687
2020-08-10,-3.0,-1.0,51.0,-26.0,-33.0,3.0,40.19836580512882,42.142857142857125
2020-08-11,-18.0,-6.0,11.0,-34.0,-34.0,6.0,43.63239705481319,48.965517241379295
2020-08-12,-1.0,1.0,62.0,-26.0,-32.0,4.0,46.86442646628085,58.90410958904111
2020-08-13,-2.0,2.0,63.0,-29.0,-32.0,4.0,49.69245220131503,56.68789808917198
